APG,BPG,DRB PG,EFG %,FG %,FG PG,FG2 %,FG2 PG,FG2A PG,FG3 %,FG3 PG,FG3A PG,FGA PG,FT %,FT PG,FTA PG,Fouls PG,GP,GS,MPG,ORB PG,PPG,SPG,TO PG,TRB PG,Teams,age,name,position
0.6,0.1,1.0,.635,.577,1.2,.632,0.9,1.5,.429,0.2,0.5,2.0,.462,0.5,1.0,0.5,13,1,8.8,0.5,3.0,0.2,0.6,1.5,Jabari Bird,23,Jabari Bird,SG
0.8,1.2,4.0,.520,.520,2.2,.521,2.2,4.3,.000,0.0,0.0,4.3,.650,1.2,1.9,1.9,82,25,18.2,1.8,5.7,0.3,1.0,5.7,Bismack Biyombo,25,Bismack Biyombo,C
1.3,0.2,3.3,.563,.461,2.6,.505,1.4,2.8,.415,1.1,2.7,5.5,.800,0.5,0.7,2.1,67,21,20.5,0.8,6.8,0.7,0.8,4.1,Nemanja Bjelica,29,Nemanja Bjelica,PF
0.3,0.6,2.0,.594,.591,1.5,.638,1.5,2.3,.091,0.0,0.2,2.5,.460,0.6,1.2,2.1,51,2,10.5,1.2,3.5,0.4,0.7,3.2,Tarik Black,26,Tarik Black,C
1.1,0.1,1.5,.423,.371,2.8,.418,2.0,4.8,.288,0.8,2.7,7.5,.769,1.6,2.1,1.0,19,0,16.5,0.2,7.9,0.4,0.6,1.7,Antonio Blakeney,21,Antonio Blakeney,SG
5.0,0.6,3.1,.536,.473,6.3,.545,4.6,8.5,.347,1.7,4.9,13.4,.795,3.4,4.3,2.5,74,74,31.4,0.7,17.7,2.0,2.9,3.8,Eric Bledsoe,28,Eric Bledsoe,PG
0.6,0.0,0.2,.200,.200,0.2,.333,0.2,0.6,.000,0.0,0.4,1.0,.500,0.2,0.4,0.4,5,0,9.0,0.0,0.6,0.2,0.6,0.2,Vander Blue,25,Vander Blue,SG
3.3,0.2,2.5,.529,.446,4.4,.485,2.8,5.7,.392,1.7,4.2,9.9,.840,1.3,1.5,2.2,78,53,27.9,0.4,11.8,0.9,1.6,2.9,Bogdan Bogdanović,25,Bogdan Bogdanović,SG
1.5,0.1,3.0,.565,.474,5.1,.534,3.1,5.8,.402,1.9,4.8,10.7,.868,2.2,2.6,1.6,80,80,30.8,0.4,14.3,0.7,1.3,3.4,Bojan Bogdanović,28,Bojan Bogdanović,SF
0.6,0.5,2.2,.680,.680,0.7,.680,0.7,1.0,,0.0,0.0,1.0,1.000,0.1,0.1,1.7,24,5,9.0,1.1,1.5,0.2,0.8,3.3,Andrew Bogut,33,Andrew Bogut,C
0.0,0.0,0.7,.500,.500,0.5,.600,0.5,0.8,.000,0.0,0.2,1.0,.500,0.5,1.0,0.5,6,0,6.3,1.0,1.5,0.3,0.3,1.7,Joel Bolomboy,24,Joel Bolomboy,PF
