APct,BPct,Box +-,DRB PCT,DWS,"Deff, Box +-",FG3A PerFGA,FTA PerFGA,GP,MP,ORB PCT,OWS,Off. Box +-,PER,SPct,TO Pct,TRB PCT,TS %,Teams,USG %,VORP,WS,WSPer48,age,name,position
10.2,1.2,-0.1,10.7,0.6,1.0,.358,.350,31,492,5.4,0.4,-1.1,11.6,3.0,11.8,8.0,.532,Corey Brewer,13.6,0.2,1.0,.095,32,Corey Brewer,SF
10.0,1.1,-2.4,9.6,0.2,0.8,.286,.265,7,140,3.1,-0.1,-3.2,10.8,4.0,12.8,6.4,.484,Corey Brewer,18.8,0.0,0.1,.044,32,Corey Brewer,SF
10.3,1.2,0.9,11.1,0.4,1.1,.405,.405,24,352,6.3,0.5,-0.3,12.0,2.6,11.2,8.6,.562,Corey Brewer,11.5,0.3,0.8,.115,32,Corey Brewer,SF
9.8,1.3,-0.2,9.7,1.2,0.3,.556,.210,82,2417,2.5,1.7,-0.5,10.8,2.5,10.2,6.0,.556,Mikal Bridges,12.2,1.1,2.9,.058,22,Mikal Bridges,SF
8.1,2.5,-0.6,16.6,1.5,0.5,.391,.151,80,1696,4.2,1.4,-1.2,13.1,1.6,8.4,10.3,.548,Miles Bridges,15.1,0.6,2.9,.083,20,Miles Bridges,SF
21.0,0.3,-5.6,13.4,0.5,-0.6,.246,.188,39,559,0.9,-0.3,-5.0,6.7,1.0,17.2,7.1,.455,Isaiah Briscoe,14.1,-0.5,0.3,.023,22,Isaiah Briscoe,PG
7.2,0.8,-2.3,12.9,0.3,-1.7,.738,.151,42,453,1.9,0.5,-0.7,10.7,0.6,10.6,7.4,.621,Ryan Broekhoff,14.3,0.0,0.8,.086,28,Ryan Broekhoff,SG
16.2,0.6,1.5,11.7,2.3,-0.3,.326,.203,64,1832,3.8,4.2,1.9,17.8,1.2,10.0,8.0,.614,Malcolm Brogdon,20.7,1.6,6.5,.171,26,Malcolm Brogdon,SG
7.6,1.1,-6.1,7.6,0.3,-1.9,.328,.246,18,330,3.0,-0.3,-4.2,7.6,1.5,12.3,5.3,.499,Dillon Brooks,20.9,-0.3,0.0,-0.004,23,Dillon Brooks,SF
11.0,1.0,-5.6,9.7,0.3,-2.6,.320,.195,29,387,3.4,-0.2,-2.9,11.6,1.2,10.3,6.5,.518,MarShon Brooks,23.6,-0.3,0.1,.018,30,MarShon Brooks,SG
8.8,2.1,-2.0,10.7,1.6,1.7,.296,.191,74,1449,3.5,-0.1,-3.7,6.9,1.4,11.9,7.0,.469,Bruce Brown,11.5,0.0,1.5,.048,22,Bruce Brown,SG
7.7,1.5,-2.1,13.9,2.4,-0.6,.348,.255,74,1913,3.6,0.7,-1.5,13.5,1.7,10.1,8.7,.547,Jaylen Brown,22.1,0.0,3.0,.076,22,Jaylen Brown,SG
17.3,2.0,-4.3,12.9,0.3,1.5,.394,.042,26,212,2.6,-0.5,-5.8,6.3,2.7,18.1,7.9,.380,Lorenzo Brown,17.9,-0.1,-0.1,-0.027,28,Lorenzo Brown,PG
