Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots Usage %,Avg. Shot Dis.,Avg Made Shot Dis,Avg Missed Shot Dis
Player,Team,Season,Season Type,Games,Less than 8ft. %,8-16 feet %,16-24 feet %,24+ feet %,Back Court Shots %,Less than 8ft. usage %,8-16 feet usage %,16-24 feet usage %,24+ feet usage %,Back Court Shots usage %,Avg. Shot Dis.(ft.),Avg. Made Shot Dis.(ft.),Avg. Missed Shot Dis.(ft.)
Trey Burke,Jazz,2014-2015,REG,76,0.412,0.373,0.403,0.319,0.167,27.23,11.81,22.12,38.24,0.60,16.05,14.87,16.74
Vander Blue,Lakers,2014-2015,REG,2,0.400,0.000,0.200,0.200,0.000,50.00,0.00,16.67,33.33,0.00,12.40,9.00,13.86
Victor Oladipo,Magic,2014-2015,REG,72,0.522,0.353,0.347,0.336,0.000,50.00,10.82,16.42,22.48,0.28,10.74,8.47,12.46
Giannis Antetokounmpo,Bucks,2014-2015,REG,81,0.560,0.418,0.393,0.171,0.000,65.00,10.13,19.23,5.26,0.38,7.17,4.85,9.41
Sergey Karasev,Nets,2014-2015,REG,33,0.547,0.308,0.357,0.302,0.000,39.55,9.70,10.45,39.55,0.75,13.84,10.98,15.78
Grant Jerrett,"Thunder, Jazz",2014-2015,REG,8,0.667,1.000,0.000,0.067,0.000,23.08,7.69,11.54,57.69,0.00,17.50,7.86,21.05
Lucas Nogueira,Raptors,2014-2015,REG,6,0.333,0.000,0.000,0.000,0.000,75.00,12.50,12.50,0.00,0.00,4.75,0.00,6.33
Phil Pressey,Celtics,2014-2015,REG,50,0.461,0.333,0.429,0.250,0.000,43.68,6.90,12.07,36.78,0.57,13.37,10.44,15.07
James Ennis,Heat,2014-2015,REG,61,0.517,0.333,0.250,0.330,0.000,47.77,2.43,11.34,38.06,0.40,12.69,9.68,14.77
Matthew Dellavedova,Cavaliers,2014-2015,REG,67,0.281,0.317,0.348,0.407,0.000,18.57,19.54,7.49,54.40,0.00,17.54,18.57,16.96
Solomon Hill,Pacers,2014-2015,REG,82,0.450,0.409,0.350,0.330,0.000,47.32,10.41,9.46,32.49,0.32,11.96,10.18,13.12
Ryan Kelly,Lakers,2014-2015,REG,52,0.457,0.232,0.237,0.338,0.000,26.21,18.12,12.30,43.04,0.32,15.87,14.20,16.71
Joffrey Lauvergne,Nuggets,2014-2015,REG,24,0.525,0.000,0.143,0.200,0.000,68.54,5.62,7.87,16.85,1.12,7.92,3.47,10.94
Gal Mekel,"Mavericks, Pelicans",2014-2015,REG,4,0.333,0.000,0.000,0.000,0.000,45.00,20.00,20.00,15.00,0.00,10.85,3.00,12.24
Gigi Datome,"Pistons, Celtics",2014-2015,REG,21,0.688,0.444,0.400,0.450,0.000,17.98,20.22,16.85,44.94,0.00,17.17,15.60,18.63
Pero Antic,Hawks,2014-2015,REG,63,0.532,0.333,0.323,0.301,0.000,26.01,5.07,10.47,58.45,0.00,17.29,14.53,18.88
Miroslav Raduljica,Timberwolves,2014-2015,REG,5,0.429,0.000,0.000,0.000,0.000,87.50,12.50,0.00,0.00,0.00,4.38,2.67,5.40
Ian Clark,"Jazz, Nuggets",2014-2015,REG,30,0.615,0.143,0.000,0.333,0.000,23.64,12.73,9.09,54.55,0.00,16.85,13.74,18.50
Seth Curry,Suns,2014-2015,REG,2,0.000,0.000,0.000,0.000,0.000,0.00,0.00,66.67,33.33,0.00,22.33,0.00,22.33
Brandon Davies,"76ers, Nets",2014-2015,REG,27,0.431,0.476,0.529,0.235,0.000,47.45,15.33,12.41,24.82,0.00,11.07,9.33,12.24
Kalin Lucas,Grizzlies,2014-2015,REG,1,0.000,0.000,0.000,0.000,0.000,0.00,100.00,0.00,0.00,0.00,14.00,0.00,14.00
Patrick Christopher,Jazz,2014-2015,REG,4,0.250,0.000,0.500,0.000,0.000,33.33,0.00,33.33,33.33,0.00,15.58,13.00,16.44
Larry Drew,76ers,2014-2015,REG,12,0.636,0.250,0.471,0.167,0.000,18.97,6.90,29.31,41.38,3.45,19.62,13.90,22.63
Troy Daniels,"Rockets, Timberwolves, Hornets",2014-2015,REG,47,0.375,0.000,0.462,0.364,0.000,9.70,3.03,15.76,71.52,0.00,21.40,21.52,21.33
PJ Hairston,Hornets,2014-2015,REG,45,0.345,0.526,0.276,0.304,0.000,21.56,7.06,10.78,59.85,0.74,18.71,17.61,19.24
Will Cherry,Cavaliers,2014-2015,REG,8,0.375,0.000,0.000,0.222,0.000,42.11,5.26,5.26,47.37,0.00,13.68,10.80,14.71
Russ Smith,"Pelicans, Grizzlies",2014-2015,REG,12,0.500,0.400,0.000,0.200,0.000,32.00,20.00,4.00,40.00,4.00,16.72,9.88,19.94
Shabazz Napier,Heat,2014-2015,REG,50,0.409,0.353,0.408,0.368,0.000,19.30,7.46,21.49,51.32,0.44,18.09,17.51,18.45
Zach LaVine,Timberwolves,2014-2015,REG,77,0.555,0.304,0.354,0.348,0.000,37.81,8.27,29.25,24.22,0.44,13.63,11.06,15.50
